1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,
1,4,1,1,1,4,4,1,4,4,1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,4,1,
1,4,1,1,1,5,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1,4,1,1,4,1,
1,4,1,1,1,4,4,1,4,4,1,1,1,1,1,1,4,1,4,4,4,4,5,4,4,4,1,
1,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,4,1,4,1,
1,4,4,4,4,4,4,4,1,1,4,1,1,4,1,1,4,1,4,1,1,1,1,4,1,4,1,
1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4,1,
1,4,1,1,4,1,1,4,4,4,4,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1,1,
1,4,1,1,4,4,4,4,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1,1,
1,4,1,1,1,4,1,4,1,1,1,4,4,4,1,1,1,1,1,4,4,4,4,4,4,4,1,
0,4,1,1,1,4,4,4,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,4,1,4,0,
1,4,1,1,4,4,1,4,1,4,4,4,1,1,1,1,1,1,4,4,4,1,1,4,4,4,1,
1,4,1,1,4,1,1,4,1,4,1,1,1,1,1,1,1,4,4,1,4,1,1,4,1,4,1,
1,4,1,1,4,1,1,4,4,4,4,4,1,1,1,4,4,4,1,1,4,1,1,4,1,4,1,
1,4,1,1,4,4,4,4,1,4,1,4,1,1,1,4,1,1,1,1,4,1,1,4,1,4,1,
1,4,1,1,4,1,1,4,1,4,1,4,4,4,4,5,4,1,1,1,4,1,1,4,1,4,1,
1,4,1,1,4,1,1,4,4,4,4,4,1,1,1,1,4,1,1,1,4,1,1,4,1,4,1,
1,4,4,4,4,5,4,4,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,4,1,4,1,
1,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,
1,4,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1,4,1,
1,4,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1,4,1,
1,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,
1,4,4,4,4,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
